SeccionCensal;FofM
4601902004;23,23 %
2306603001;23,23 %
1401904002;23,23 %
3123202002;23,23 %
3502401009;23,23 %
0702702003;23,23 %
4602903009;23,23 %
0827902011;23,23 %
0306503014;23,23 %
0702604004;23,23 %
3205402011;23,23 %
2807912092;23,23 %
0301501001;23,23 %
1213504007;23,23 %
3502202004;23,23 %
1405502007;23,23 %
0826302001;23,23 %
4508801001;23,23 %
3905202008;23,23 %
0801903015;23,23 %
5029701015;23,23 %
3703201001;23,23 %
3001610034;23,23 %
2807913173;23,23 %
4109102013;23,23 %
0810104002;23,23 %
0401308005;23,24 %
1809301001;23,24 %
0905905035;23,24 %
0608304010;23,24 %
2807901119;23,24 %
4616901001;23,24 %
4802007043;23,24 %
2300205002;23,24 %
2906707059;23,24 %
2807913185;23,24 %
0306504021;23,24 %
4927503003;23,24 %
2807913192;23,24 %
0608303006;23,24 %
2807921019;23,24 %
4103803005;23,24 %
4108101004;23,24 %
1402106029;23,24 %
2905101014;23,25 %
0704004043;23,25 %
0810102026;23,25 %
0810105032;23,25 %
3120105006;23,25 %
1802101009;23,25 %
3003007025;23,25 %
2807906005;23,25 %
2807907082;23,25 %
1301901001;23,25 %
2814804004;23,25 %
0704002031;23,25 %
0410201013;23,25 %
0801902030;23,25 %
4508101005;23,25 %
0801902049;23,25 %
2807904108;23,25 %
2906707048;23,25 %
0810102040;23,25 %
0704004004;23,25 %
0404701002;23,25 %
2905101013;23,25 %
4506602003;23,25 %
0807602005;23,25 %
1308201007;23,25 %
0801902123;23,25 %
4602905001;23,25 %
2001701002;23,25 %
2906707034;23,25 %
2814901002;23,25 %
4611001012;23,26 %
4622201001;23,26 %
1812201003;23,26 %
4109104029;23,26 %
0801903049;23,26 %
2804002003;23,26 %
0824502008;23,26 %
1506601001;23,26 %
2815401002;23,26 %
4616601003;23,26 %
0801902068;23,26 %
2812901004;23,26 %
2907001021;23,26 %
0615302001;23,26 %
1707902019;23,26 %
0905908002;23,26 %
5200108012;23,26 %
2800601009;23,26 %
4102002002;23,26 %
1715801001;23,26 %
3605302002;23,26 %
2807901093;23,26 %
4108604003;23,26 %
2807904008;23,26 %
4314802001;23,27 %
2807908052;23,27 %
2807913054;23,27 %
3801701023;23,27 %
4108901001;23,27 %
0314005007;23,27 %
0827906026;23,27 %
4516807005;23,27 %
3090201001;23,27 %
3802401002;23,27 %
2904203002;23,27 %
3003301012;23,27 %
3605704024;23,27 %
1200401002;23,27 %
2804501010;23,27 %
2807904092;23,27 %
2906705003;23,27 %
0304902002;23,27 %
2904202001;23,27 %
0704003008;23,27 %
0206902002;23,27 %
0310402003;23,27 %
3904401002;23,27 %
0801907119;23,27 %
2105203002;23,27 %
2800601015;23,27 %
0803303002;23,27 %
4610505004;23,28 %
3801901011;23,28 %
1305802003;23,28 %
0801901052;23,28 %
0922101001;23,28 %
0812105002;23,28 %
3002402025;23,28 %
1103501011;23,28 %
1704401002;23,28 %
0807601004;23,28 %
3604901001;23,28 %
4625001024;23,28 %
4610901002;23,28 %
2807901027;23,28 %
0812302002;23,28 %
1101503003;23,28 %
2906705002;23,28 %
4607002004;23,28 %
2906706042;23,28 %
3003601007;23,28 %
0301402020;23,28 %
0402901006;23,28 %
1405202004;23,28 %
4600701001;23,28 %
3502203028;23,28 %
4804402007;23,28 %
2810601022;23,29 %
2807902067;23,29 %
0801902163;23,29 %
3500402013;23,29 %
0312202003;23,29 %
4718607011;23,29 %
2104202002;23,29 %
3123203005;23,29 %
2807902062;23,29 %
3001602014;23,29 %
3002601017;23,29 %
0404902002;23,29 %
4510701001;23,29 %
2002301001;23,29 %
4802003009;23,29 %
0305801002;23,29 %
4107703001;23,29 %
4109109020;23,29 %
2520801001;23,29 %
2100501001;23,29 %
0801908103;23,29 %
3001001005;23,29 %
0406201004;23,29 %
0801902171;23,29 %
2804701008;23,29 %
0703202003;23,29 %
2807904106;23,29 %
0810105033;23,29 %
0303102007;23,29 %
3802302024;23,29 %
3003008005;23,30 %
3802303001;23,30 %
2807913041;23,30 %
0801508007;23,30 %
0818403003;23,30 %
0818404019;23,30 %
1101401004;23,30 %
0705502001;23,30 %
0830702003;23,30 %
2807913061;23,30 %
0818706003;23,30 %
4501601001;23,30 %
4103401009;23,30 %
0405201003;23,30 %
0820002005;23,30 %
0801505004;23,30 %
3003001060;23,30 %
4109101009;23,30 %
0801905016;23,30 %
1911701001;23,30 %
2807901108;23,30 %
0312802001;23,30 %
2805804005;23,30 %
0304101001;23,30 %
1800301001;23,30 %
0801906066;23,30 %
2006906025;23,30 %
2301001001;23,30 %
0703104009;23,30 %
0826001004;23,30 %
4101801007;23,30 %
4317101010;23,30 %
4619001042;23,30 %
1815301007;23,30 %
1707903015;23,30 %
0309002007;23,30 %
2807911192;23,30 %
0702204003;23,30 %
0801902065;23,30 %
0825201020;23,31 %
2602101002;23,31 %
2807901115;23,31 %
0812101003;23,31 %
2906711009;23,31 %
2807911119;23,31 %
3001607003;23,31 %
3502203009;23,31 %
4107501002;23,31 %
4502102001;23,31 %
0810203009;23,31 %
0301405012;23,31 %
0901803004;23,31 %
1401202001;23,31 %
4802701001;23,31 %
2807901046;23,31 %
0827906020;23,31 %
0828402001;23,31 %
2807911116;23,31 %
0818701008;23,31 %
0810102042;23,31 %
3001608005;23,31 %
4190101001;23,31 %
2906709056;23,31 %
2807902106;23,31 %
0801902084;23,31 %
2804701006;23,31 %
0824505006;23,31 %
2800601016;23,31 %
1808708001;23,32 %
1402109002;23,32 %
2904202002;23,32 %
0704002004;23,32 %
0801908111;23,32 %
4316106003;23,32 %
1303904003;23,32 %
3501802005;23,32 %
0410201001;23,32 %
0407902015;23,32 %
0301404010;23,32 %
4108601001;23,32 %
2309701003;23,32 %
2906901003;23,32 %
0801907117;23,32 %
4103403005;23,32 %
0704004032;23,32 %
1711402003;23,32 %
0818702011;23,32 %
2807917047;23,32 %
0801905041;23,32 %
2807911036;23,32 %
0702604017;23,32 %
3000201012;23,32 %
2805804003;23,32 %
2807902046;23,32 %
0701401005;23,32 %
1014804013;23,32 %
2906707066;23,32 %
1702302010;23,33 %
2807904025;23,33 %
2807903069;23,33 %
3002401010;23,33 %
2504001001;23,33 %
2906708058;23,33 %
4503801003;23,33 %
3502401005;23,33 %
5027201004;23,33 %
3200801005;23,33 %
0704802006;23,33 %
2906707002;23,33 %
0818705002;23,33 %
4007601001;23,33 %
1405501004;23,33 %
3112201002;23,33 %
0812701002;23,33 %
3000301028;23,33 %
2807912093;23,33 %
1102102001;23,33 %
3501602020;23,33 %
1620302005;23,33 %
4103401007;23,33 %
0700303003;23,33 %
2309203006;23,33 %
3500402004;23,33 %
2512001009;23,33 %
3003501005;23,33 %
3003005019;23,33 %
3800601027;23,33 %
0801509002;23,33 %
4101901002;23,33 %
2807914028;23,33 %
0801910060;23,33 %
2812701028;23,34 %
0301501005;23,34 %
0704802003;23,34 %
2807902041;23,34 %
1200902003;23,34 %
4516805015;23,34 %
2804701010;23,34 %
0704004033;23,34 %
2818001005;23,34 %
4705001003;23,34 %
0827901004;23,34 %
1100701005;23,34 %
0801906041;23,34 %
2200301001;23,34 %
3801901009;23,34 %
2810601009;23,34 %
2104102008;23,34 %
3605709002;23,34 %
0703304001;23,34 %
0801902168;23,34 %
2810801001;23,35 %
1501901005;23,35 %
4502101001;23,35 %
0704601007;23,35 %
2900801002;23,35 %
3602901005;23,35 %
2105003001;23,35 %
2807910034;23,35 %
4618403013;23,35 %
0801902149;23,35 %
0801902140;23,35 %
2906902012;23,35 %
0801906033;23,35 %
0801504011;23,35 %
3003003024;23,35 %
0801903044;23,35 %
0704004040;23,35 %
1101502001;23,35 %
2906709029;23,35 %
0704002016;23,35 %
4512102001;23,35 %
2212507002;23,35 %
3190201003;23,35 %
3003601014;23,35 %
0704005020;23,35 %
1816201001;23,35 %
0801903099;23,35 %
2512006001;23,35 %
0816101002;23,35 %
3800101002;23,35 %
3302405001;23,35 %
1811101002;23,35 %
0801910081;23,35 %
1402102016;23,35 %
4109105013;23,35 %
3605705009;23,35 %
0801902052;23,35 %
3602401006;23,35 %
1102205003;23,35 %
1104102004;23,35 %
2807906097;23,35 %
0819801001;23,35 %
0905908003;23,35 %
0815801002;23,36 %
2807906067;23,36 %
2807911084;23,36 %
4103905002;23,36 %
2906902003;23,36 %
2408908002;23,36 %
0206901004;23,36 %
4620201010;23,36 %
1507803009;23,36 %
0309901002;23,36 %
4625018008;23,36 %
3003005001;23,36 %
0301404023;23,36 %
0401306020;23,36 %
4106503001;23,36 %
0810103011;23,36 %
2104102005;23,36 %
0812105016;23,36 %
1103106011;23,36 %
2807913056;23,36 %
4508102001;23,36 %
0811402003;23,36 %
3605001008;23,36 %
4612201002;23,36 %
2807915087;23,36 %
2811501013;23,36 %
2905103001;23,36 %
2105002002;23,37 %
2810601003;23,37 %
3001501001;23,37 %
2807906076;23,37 %
1102901003;23,37 %
0705404001;23,37 %
1102002009;23,37 %
2807913168;23,37 %
4108701001;23,37 %
2807912094;23,37 %
3501701003;23,37 %
1817501004;23,37 %
3803811007;23,37 %
3003004039;23,37 %
4315501005;23,37 %
0704004076;23,37 %
0801905085;23,37 %
4106903004;23,37 %
2807917039;23,37 %
0829805001;23,37 %
0704003013;23,37 %
3501701015;23,37 %
1718001003;23,37 %
3802303019;23,37 %
0306507011;23,37 %
1819301009;23,38 %
0313903005;23,38 %
0305601006;23,38 %
2813401002;23,38 %
4625007037;23,38 %
2807902072;23,38 %
4317101008;23,38 %
4705001002;23,38 %
0300502001;23,38 %
0801902053;23,38 %
2811101001;23,38 %
0805101007;23,38 %
1802101007;23,38 %
3121502001;23,38 %
0827902001;23,38 %
0300501004;23,38 %
2520702002;23,38 %
2807406005;23,38 %
2807917066;23,38 %
0816401001;23,38 %
1716901001;23,38 %
4625015030;23,38 %
3003004056;23,38 %
0400305001;23,38 %
0810104009;23,38 %
0705405002;23,38 %
4101502003;23,38 %
4102404005;23,38 %
1814005002;23,38 %
3501701006;23,38 %
2090301003;23,38 %
0801904031;23,39 %
2804501006;23,39 %
3000301030;23,39 %
3003006024;23,39 %
3800601012;23,39 %
1102203007;23,39 %
1101504016;23,39 %
4316302001;23,39 %
0313301003;23,39 %
0704003022;23,39 %
0615802001;23,39 %
4602101019;23,39 %
0810102007;23,39 %
3502203002;23,39 %
1708301002;23,39 %
0309301013;23,39 %
0827903009;23,39 %
2807911080;23,39 %
0820502005;23,39 %
4510604002;23,39 %
4105901002;23,39 %
0304401002;23,39 %
0490201022;23,39 %
0702701004;23,39 %
1200902002;23,39 %
3003301005;23,39 %
0704004020;23,39 %
1103101002;23,39 %
1706604005;23,39 %
1402109032;23,40 %
0309002002;23,40 %
0801502012;23,40 %
5029706025;23,40 %
0824501010;23,40 %
3003005057;23,40 %
1715201005;23,40 %
0801902033;23,40 %
0702604015;23,40 %
3108601011;23,40 %
0801902056;23,40 %
4623504004;23,40 %
4625015007;23,40 %
2807907062;23,40 %
2807906085;23,40 %
2104401007;23,40 %
0810501001;23,40 %
1100602005;23,40 %
3800601006;23,40 %
0704004085;23,40 %
3003801003;23,40 %
3603802014;23,40 %
2807901117;23,40 %
3800101018;23,40 %
3907508003;23,40 %
0801907062;23,40 %
4506601003;23,40 %
2907001003;23,40 %
4625001025;23,41 %
2807901065;23,41 %
2807911040;23,41 %
0812101004;23,41 %
0603901002;23,41 %
2807906018;23,41 %
4105301004;23,41 %
0812103005;23,41 %
0200307005;23,41 %
1708901001;23,41 %
1933101002;23,41 %
3090201007;23,41 %
0200304006;23,41 %
3907508007;23,41 %
4603103002;23,41 %
2909401002;23,41 %
3003006034;23,41 %
5029704062;23,41 %
2906901039;23,41 %
2807913044;23,41 %
4109103031;23,41 %
0606001002;23,41 %
2813401045;23,41 %
0703104004;23,41 %
4102901008;23,41 %
0945801001;23,41 %
3603802007;23,41 %
0306503016;23,41 %
2512006010;23,41 %
0704003052;23,41 %
4314808001;23,41 %
4109102015;23,41 %
3001901025;23,42 %
4616301001;23,42 %
3502203020;23,42 %
1102701001;23,42 %
1404602001;23,42 %
4109503002;23,42 %
1707903012;23,42 %
4312305001;23,42 %
2807907090;23,42 %
0403201004;23,42 %
0824503011;23,42 %
3901801001;23,42 %
1706601003;23,42 %
0801906068;23,42 %
5029706020;23,42 %
0812403010;23,42 %
0824505015;23,42 %
3003006023;23,42 %
0801908065;23,42 %
4314808010;23,42 %
2907001006;23,42 %
4421603001;23,42 %
1304703001;23,42 %
1404202003;23,42 %
1102006006;23,42 %
0704004042;23,42 %
2807906095;23,42 %
0818702006;23,42 %
2512001004;23,43 %
3304408003;23,43 %
2906902011;23,43 %
3604602001;23,43 %
0823101011;23,43 %
4109105044;23,43 %
2102102005;23,43 %
2810401001;23,43 %
3800601014;23,43 %
2520401001;23,43 %
1806201007;23,43 %
2512002009;23,43 %
2807903060;23,43 %
2803601002;23,43 %
2803201001;23,43 %
0704002066;23,43 %
2806101003;23,43 %
3800601003;23,43 %
4501901005;23,43 %
4313301002;23,43 %
3803812005;23,43 %
4021601001;23,43 %
4625601002;23,43 %
2104201001;23,43 %
0818701013;23,43 %
2502102002;23,43 %
3003901017;23,43 %
0805605003;23,43 %
0801909002;23,43 %
2807907047;23,43 %
0702202001;23,43 %
1307902005;23,43 %
1101501001;23,43 %
2807901096;23,43 %
4315602001;23,43 %
2807901077;23,43 %
2905102005;23,44 %
0701301002;23,44 %
3803101007;23,44 %
2504002001;23,44 %
2906903003;23,44 %
2807910111;23,44 %
1507803005;23,44 %
0615802004;23,44 %
2702802017;23,44 %
1100401012;23,44 %
2512005007;23,44 %
1613302001;23,44 %
1819301008;23,44 %
1402702002;23,44 %
2807901113;23,44 %
2807901082;23,44 %
0818706018;23,44 %
2807908115;23,44 %
0704003032;23,44 %
1102204005;23,44 %
0823801009;23,44 %
3801701021;23,44 %
3802303008;23,44 %
2807905097;23,44 %
0308801003;23,44 %
3001601004;23,44 %
2807907009;23,44 %
0601104003;23,44 %
4809602001;23,44 %
2804501014;23,44 %
2807904013;23,44 %
2309201002;23,45 %
0905903006;23,45 %
3002401032;23,45 %
1014804010;23,45 %
2103502001;23,45 %
2807907032;23,45 %
1301302003;23,45 %
2802201023;23,45 %
3001608038;23,45 %
2603603002;23,45 %
0905909043;23,45 %
0827905005;23,45 %
0801904041;23,45 %
2807902054;23,45 %
0401306036;23,45 %
1305304001;23,45 %
0827901008;23,45 %
0801507011;23,45 %
4103804017;23,45 %
0705701006;23,45 %
4108603002;23,45 %
2990101043;23,45 %
4608501005;23,45 %
1101504013;23,45 %
0801901014;23,45 %
3001607002;23,45 %
4601101007;23,45 %
4516503018;23,45 %
2814803001;23,45 %
5100105004;23,45 %
0801903009;23,45 %
0704601009;23,45 %
0815001001;23,45 %
1290101001;23,45 %
1204006005;23,45 %
3802304002;23,45 %
5021901002;23,45 %
0704004056;23,46 %
2818101004;23,46 %
4601101006;23,46 %
3112301001;23,46 %
4106501005;23,46 %
2807911173;23,46 %
0310101003;23,46 %
1723301002;23,46 %
3000301005;23,46 %
4809501001;23,46 %
2807912034;23,46 %
3800101015;23,46 %
2807913033;23,46 %
1801301005;23,46 %
0801904039;23,46 %
2808001004;23,46 %
4107901006;23,46 %
4103805002;23,46 %
2706501001;23,46 %
2807915083;23,46 %
0801909066;23,46 %
2807905039;23,46 %
2807906069;23,46 %
0301501002;23,46 %
2812701038;23,46 %
0801909007;23,46 %
2807906116;23,46 %
0490401002;23,46 %
3003601015;23,46 %
4303001001;23,47 %
0305801001;23,47 %
4625015008;23,47 %
4314806003;23,47 %
0801903045;23,47 %
3302408020;23,47 %
0812601001;23,47 %
1102501002;23,47 %
0801902161;23,47 %
0801906070;23,47 %
2807918010;23,47 %
3800601007;23,47 %
0801902013;23,47 %
0810202001;23,47 %
0826001003;23,47 %
1209401001;23,47 %
3002301005;23,47 %
4616901025;23,47 %
1719901005;23,47 %
0705401004;23,47 %
1503002021;23,47 %
3802301017;23,47 %
1708901004;23,47 %
1503009006;23,47 %
3904801001;23,47 %
2807901003;23,47 %
0704002049;23,47 %
2807917100;23,47 %
2906704003;23,47 %
4315503001;23,47 %
4510102001;23,47 %
0704001016;23,47 %
5006201001;23,47 %
2906710005;23,47 %
0824505009;23,47 %
2810601035;23,47 %
0812502001;23,47 %
1402701004;23,47 %
3606101001;23,48 %
2807917004;23,48 %
2104107016;23,48 %
1913003003;23,48 %
0809604004;23,48 %
2212504002;23,48 %
4806901008;23,48 %
2816801001;23,48 %
2211201010;23,48 %
2422202002;23,48 %
4611701001;23,48 %
0704403001;23,48 %
0801909005;23,48 %
2807913038;23,48 %
1204005014;23,48 %
4625012029;23,48 %
0203501002;23,48 %
1103106002;23,48 %
1401701001;23,48 %
4708503003;23,48 %
4511901002;23,48 %
1301301004;23,48 %
0809602007;23,48 %
0805601004;23,48 %
3605704020;23,48 %
3907401004;23,48 %
2807911083;23,48 %
2809201002;23,48 %
4103804005;23,48 %
2906901001;23,48 %
4705001001;23,48 %
0801902145;23,48 %
4518001001;23,48 %
3003005053;23,48 %
2812301001;23,48 %
0306604009;23,48 %
4312306007;23,48 %
3001001007;23,49 %
0301406017;23,49 %
2800601020;23,49 %
2804701019;23,49 %
4106901001;23,49 %
0801906007;23,49 %
3603901006;23,49 %
2807912044;23,49 %
0828502001;23,49 %
0812105010;23,49 %
2804002005;23,49 %
3000101002;23,49 %
4503101002;23,49 %
4102901006;23,49 %
0810102012;23,49 %
4102102002;23,49 %
3803201007;23,49 %
0390201005;23,49 %
4520501004;23,49 %
3501401004;23,49 %
2790201001;23,49 %
4625014003;23,49 %
0308901008;23,49 %
1706601006;23,49 %
3907601002;23,49 %
1101501006;23,49 %
4100404007;23,49 %
1815301004;23,49 %
0203704001;23,49 %
1204008002;23,49 %
2902701001;23,49 %
2816201001;23,49 %
2807914082;23,49 %
1507804013;23,49 %
4106902001;23,49 %
0301901005;23,49 %
0406601002;23,49 %
3500402006;23,50 %
2805807006;23,50 %
0801910024;23,50 %
4109105020;23,50 %
0312201008;23,50 %
0913101001;23,50 %
0801902131;23,50 %
0901802004;23,50 %
3003601018;23,50 %
2608902024;23,50 %
0830601001;23,50 %
2906710024;23,50 %
2212501002;23,50 %
0706101003;23,50 %
0812104002;23,50 %
2800704001;23,50 %
0301408019;23,50 %
0811801010;23,50 %
0401305011;23,50 %
2007902008;23,50 %
0818706006;23,50 %
3600602004;23,50 %
2422201005;23,50 %
0815902003;23,50 %
3003002038;23,50 %
4310301001;23,50 %
0810102004;23,50 %
0601503005;23,50 %
0704404001;23,50 %
0801903022;23,50 %
0801902101;23,50 %
0805602004;23,50 %
0704004051;23,50 %
0810105031;23,50 %
2107201003;23,50 %
0818706020;23,50 %
3001901004;23,50 %
2804903008;23,50 %
2807913190;23,50 %
5100106001;23,51 %
2600801001;23,51 %
3501604069;23,51 %
2305006005;23,51 %
1801101002;23,51 %
2807919032;23,51 %
2807911059;23,51 %
2807917018;23,51 %
4106403001;23,51 %
3002401011;23,51 %
5100101007;23,51 %
2513701005;23,51 %
0824505011;23,51 %
3001610013;23,51 %
2807901076;23,51 %
2090501001;23,51 %
2908201005;23,51 %
4312302008;23,51 %
2810601034;23,51 %
4602101012;23,51 %
2512003001;23,51 %
1711701003;23,51 %
1709501001;23,51 %
0306506008;23,51 %
0701103003;23,51 %
0801907012;23,51 %
3802303015;23,51 %
3000901009;23,51 %
0407501002;23,51 %
2810601005;23,51 %
2804002004;23,51 %
3003005060;23,51 %
4312901001;23,51 %
3800601028;23,52 %
0105101003;23,52 %
1402109016;23,52 %
3500401011;23,52 %
2807908087;23,52 %
2807910022;23,52 %
2906707051;23,52 %
2800601014;23,52 %
3501605034;23,52 %
2802301002;23,52 %
2906708026;23,52 %
0830704002;23,52 %
0812402008;23,52 %
0820004006;23,52 %
2906708039;23,52 %
3001901021;23,52 %
2807901053;23,52 %
0943401001;23,52 %
2906801004;23,52 %
4618101005;23,52 %
2807901097;23,52 %
2908001001;23,52 %
2807913206;23,52 %
1300504001;23,52 %
4518301001;23,52 %
3501601057;23,52 %
0308801001;23,52 %
1506001005;23,52 %
3902801002;23,52 %
2101003002;23,52 %
4304701001;23,52 %
0820201003;23,52 %
0306506006;23,52 %
0704001013;23,52 %
0905904004;23,52 %
1500501001;23,52 %
1928001001;23,52 %
3002701043;23,52 %
2807910149;23,52 %
2211201002;23,52 %
0827904018;23,52 %
0303102006;23,52 %
1101505010;23,52 %
2810601055;23,53 %
2807904090;23,53 %
0801903107;23,53 %
2807907117;23,53 %
0818404009;23,53 %
3603802020;23,53 %
3003801005;23,53 %
0801906059;23,53 %
2001801008;23,53 %
2804501016;23,53 %
0704003011;23,53 %
3737901001;23,53 %
3003006008;23,53 %
2305301004;23,53 %
1402603001;23,53 %
2512003007;23,53 %
0801908081;23,53 %
1103205007;23,53 %
2809201019;23,53 %
2810601008;23,53 %
4718606031;23,53 %
2807907118;23,53 %
2906702016;23,53 %
2521704002;23,53 %
2807910196;23,53 %
3002601020;23,53 %
3003702001;23,53 %
2807921023;23,53 %
1402102005;23,53 %
3003901006;23,53 %
4100404002;23,53 %
2906707065;23,53 %
0822101006;23,53 %
4801501012;23,53 %
2807902014;23,54 %
2906709036;23,54 %
3003005034;23,54 %
3002501007;23,54 %
4625014012;23,54 %
2807905065;23,54 %
0820004001;23,54 %
2807916118;23,54 %
2807911048;23,54 %
3802301002;23,54 %
3117602001;23,54 %
0801906001;23,54 %
3002101011;23,54 %
0807710008;23,54 %
1403602002;23,54 %
0401101001;23,54 %
4102404001;23,54 %
2811302001;23,54 %
3001501018;23,54 %
1808707001;23,54 %
2305005010;23,54 %
2807901020;23,54 %
0401601001;23,54 %
0105901004;23,54 %
2104105003;23,54 %
0704002055;23,54 %
3412006003;23,54 %
1406701002;23,54 %
4804502003;23,54 %
2807903027;23,54 %
2807901064;23,54 %
0818703011;23,54 %
1810001006;23,54 %
1607803001;23,54 %
2906801003;23,54 %
2902502005;23,55 %
2807901031;23,55 %
0810103010;23,55 %
3500301003;23,55 %
0704004008;23,55 %
4605401002;23,55 %
2807904110;23,55 %
2807901008;23,55 %
3107702001;23,55 %
1619002001;23,55 %
0704003047;23,55 %
3003006014;23,55 %
3002402026;23,55 %
2807910094;23,55 %
3001606002;23,55 %
0703204001;23,55 %
3003701002;23,55 %
2804701012;23,55 %
1690501001;23,55 %
4109202003;23,55 %
4309301002;23,55 %
0810102021;23,55 %
1701501002;23,55 %
4611001007;23,55 %
1704901003;23,55 %
2807907005;23,55 %
2813301004;23,55 %
1402102029;23,55 %
0704005012;23,55 %
0810101008;23,55 %
3500401004;23,55 %
1102207002;23,55 %
2105002001;23,55 %
2807917051;23,55 %
3605702014;23,55 %
2807913196;23,55 %
1208201004;23,55 %
0801902164;23,55 %
2807911111;23,55 %
4520301001;23,55 %
3412004005;23,55 %
2903801001;23,55 %
1101504004;23,56 %
3002301003;23,56 %
0702701003;23,56 %
4304702001;23,56 %
0704004017;23,56 %
2104204001;23,56 %
3002601009;23,56 %
0810102023;23,56 %
1716003003;23,56 %
5100103007;23,56 %
2909401011;23,56 %
2807913142;23,56 %
0704002020;23,56 %
0105903036;23,56 %
5100105003;23,56 %
2810601013;23,56 %
2202101002;23,56 %
4109109022;23,56 %
1402109022;23,56 %
2807915060;23,56 %
4308602002;23,56 %
0401305004;23,56 %
4314502002;23,56 %
2900101001;23,56 %
2906709051;23,56 %
2807909023;23,56 %
4315504009;23,56 %
4602201016;23,56 %
1102202002;23,56 %
2104105011;23,56 %
1891101001;23,56 %
3108801003;23,56 %
0801903098;23,56 %
2512006017;23,56 %
1615401002;23,56 %
0200307003;23,56 %
4317101005;23,56 %
2807915176;23,56 %
4516807017;23,56 %
2808002023;23,57 %
1404903003;23,57 %
0820501001;23,57 %
2807904016;23,57 %
1101504011;23,57 %
4104901001;23,57 %
2807904021;23,57 %
2807902058;23,57 %
2908404004;23,57 %
3501903002;23,57 %
3800101009;23,57 %
0819601009;23,57 %
0801906084;23,57 %
1402106037;23,57 %
1100703001;23,57 %
4109105047;23,57 %
1813402002;23,57 %
1505802006;23,57 %
0613301001;23,57 %
1707903017;23,57 %
5029707002;23,57 %
0704003030;23,57 %
1819301003;23,57 %
3800601031;23,57 %
0304801002;23,57 %
4602101016;23,57 %
2603602001;23,57 %
4316103001;23,57 %
2906707081;23,57 %
1706601001;23,57 %
4312304007;23,57 %
0801902070;23,57 %
1403802006;23,57 %
0810104020;23,57 %
0801910015;23,58 %
3120104012;23,58 %
3501701011;23,58 %
0704003046;23,58 %
3907503007;23,58 %
0815901004;23,58 %
2803501001;23,58 %
3801701003;23,58 %
3003901007;23,58 %
0801905015;23,58 %
2807902033;23,58 %
3001901017;23,58 %
2807902065;23,58 %
4101801003;23,58 %
3205402010;23,58 %
4516804002;23,58 %
3003006033;23,58 %
0811302007;23,58 %
4103401002;23,58 %
2807906089;23,58 %
5200108006;23,58 %
2807907011;23,58 %
2807908069;23,58 %
0801902073;23,58 %
4415301002;23,58 %
4602904003;23,58 %
1706604004;23,58 %
4624401010;23,58 %
2807915113;23,58 %
3501802002;23,58 %
2801303003;23,58 %
0312201012;23,58 %
2809601008;23,58 %
2906901035;23,59 %
5007402001;23,59 %
4301601001;23,59 %
2807906059;23,59 %
0810102017;23,59 %
0405201006;23,59 %
2907601001;23,59 %
0801903025;23,59 %
4617201003;23,59 %
0822101002;23,59 %
4109102041;23,59 %
2807903058;23,59 %
2908201002;23,59 %
0704002039;23,59 %
1102009012;23,59 %
2215801003;23,59 %
0601503010;23,59 %
2807911161;23,59 %
3000701008;23,59 %
3001001003;23,59 %
1819301004;23,59 %
1706601007;23,59 %
0801902021;23,59 %
2800701012;23,59 %
4801304005;23,59 %
5200105005;23,59 %
3503001001;23,59 %
2817601008;23,59 %
4508102003;23,59 %
0818702004;23,59 %
3501103006;23,59 %
0704002041;23,59 %
0401303006;23,59 %
4608301003;23,59 %
1814501006;23,59 %
0501904014;23,59 %
2807907056;23,59 %
0801906003;23,59 %
3003004023;23,59 %
0400301002;23,60 %
2807904001;23,60 %
0704801005;23,60 %
0819201002;23,60 %
3501602039;23,60 %
4106902003;23,60 %
0801907011;23,60 %
4802005021;23,60 %
0824502011;23,60 %
3003008004;23,60 %
3502203013;23,60 %
0813601003;23,60 %
4516501007;23,60 %
1402106031;23,60 %
1100801003;23,60 %
0490201030;23,60 %
0490201016;23,60 %
3090101002;23,60 %
1102204003;23,60 %
3001902001;23,60 %
2805601001;23,60 %
2807904037;23,60 %
4421604001;23,60 %
0810501005;23,60 %
0704003002;23,60 %
4315504001;23,60 %
4806001002;23,60 %
0801903079;23,60 %
2807906066;23,60 %
1003701010;23,60 %
2805804002;23,60 %
0818002003;23,60 %
3904301001;23,60 %
2807901055;23,60 %
2305009006;23,60 %
3603901003;23,60 %
2901702002;23,60 %
4104901002;23,60 %
2807917011;23,60 %
3001001009;23,61 %
0801509027;23,61 %
3120102016;23,61 %
4312310001;23,61 %
2603601001;23,61 %
4625002026;23,61 %
3602401007;23,61 %
1102203011;23,61 %
1716401001;23,61 %
2807913175;23,61 %
4100402005;23,61 %
4622005002;23,61 %
4316301002;23,61 %
3603801010;23,61 %
1103106020;23,61 %
1505404009;23,61 %
0301402013;23,61 %
0407902001;23,61 %
4101801006;23,61 %
3001602001;23,61 %
0313301009;23,61 %
0302501001;23,61 %
1103106019;23,61 %
0818404006;23,61 %
1815801003;23,61 %
2807905075;23,62 %
0818705012;23,62 %
1613301001;23,62 %
0301407010;23,62 %
2807910053;23,62 %
1617502002;23,62 %
0704002002;23,62 %
3000801001;23,62 %
2104107005;23,62 %
0703302002;23,62 %
0810104007;23,62 %
4619401007;23,62 %
1707901006;23,62 %
1812701003;23,62 %
0105903035;23,62 %
1800301005;23,62 %
